servico;comentario;sentimento
Emissão de RG;O atendimento foi rápido e eficiente.;positivo
Emissão de título de eleitor;Demorou muito para concluir o processo.;negativo
Emissão de carteira de trabalho;O site é muito confuso e difícil de navegar.;negativo
Licenciamento de veículo;Fiz o licenciamento do meu carro sem problemas.;positivo
Abertura de empresa;O suporte ao cliente foi excelente.;positivo
Emissão de RG;Encontrei erros no documento emitido.;negativo
Emissão de título de eleitor;Muito prático e fácil de usar o site.;positivo
Emissão de carteira de trabalho;Não consegui agendar uma data disponível.;negativo
Licenciamento de veículo;A página ficou carregando por muito tempo.;negativo
Abertura de empresa;Consegui abrir minha empresa rapidamente.;positivo
Emissão de RG;O atendimento presencial foi ótimo.;positivo
Emissão de título de eleitor;O site caiu várias vezes durante o processo.;negativo
Emissão de carteira de trabalho;Recebi minha carteira em poucos dias.;positivo
Licenciamento de veículo;O sistema de pagamento não funcionou.;negativo
Abertura de empresa;O processo foi bem detalhado e sem complicações.;positivo
Emissão de RG;O documento chegou em perfeito estado.;positivo
Emissão de título de eleitor;Não consegui completar o cadastro.;negativo
Emissão de carteira de trabalho;O formulário é muito complexo.;negativo
Licenciamento de veículo;Todo o procedimento foi muito simples.;positivo
Abertura de empresa;Encontrei todas as informações que precisava.;positivo
Emissão de RG;A fila de espera era muito longa.;negativo
Emissão de título de eleitor;O site é intuitivo e fácil de usar.;positivo
Emissão de carteira de trabalho;Precisei de suporte técnico para continuar.;negativo
Licenciamento de veículo;Finalizei o licenciamento rapidamente.;positivo
Abertura de empresa;O processo foi mais rápido do que eu esperava.;positivo
Emissão de RG;Não consegui concluir a emissão do RG.;negativo
Emissão de título de eleitor;O suporte ao cliente não respondeu minhas dúvidas.;negativo
Emissão de carteira de trabalho;Consegui agendar facilmente.;positivo
Licenciamento de veículo;Houve problemas com a verificação de documentos.;negativo
Abertura de empresa;Foi fácil abrir minha empresa online.;positivo
Emissão de RG;Encontrei dificuldades no preenchimento dos dados.;negativo
Emissão de título de eleitor;Tudo funcionou perfeitamente.;positivo
Emissão de carteira de trabalho;A documentação exigida era confusa.;negativo
Licenciamento de veículo;Todo o processo foi muito eficiente.;positivo
Abertura de empresa;Precisei de ajuda para entender alguns passos.;negativo
Emissão de RG;Recebi o RG no prazo estipulado.;positivo
Emissão de título de eleitor;Consegui resolver tudo sem sair de casa.;positivo
Emissão de carteira de trabalho;Levei muito tempo para entender o procedimento.;negativo
Licenciamento de veículo;O site ficou fora do ar várias vezes.;negativo
Abertura de empresa;O atendimento via chat foi muito útil.;positivo
Emissão de RG;O prazo de entrega foi muito longo.;negativo
Emissão de título de eleitor;O site é muito bem organizado.;positivo
Emissão de carteira de trabalho;Recebi um ótimo atendimento.;positivo
Licenciamento de veículo;Houve um problema com meu pagamento.;negativo
Abertura de empresa;Consegui todas as informações que precisava.;positivo
Emissão de RG;Precisei corrigir meus dados várias vezes.;negativo
Emissão de título de eleitor;O serviço foi rápido e sem complicações.;positivo
Emissão de carteira de trabalho;Demorou muito para receber minha carteira.;negativo
Licenciamento de veículo;O processo foi bastante demorado.;negativo
Abertura de empresa;Abri minha empresa sem dificuldades.;positivo
Emissão de RG;Todo o processo foi muito rápido.;positivo
Emissão de título de eleitor;Encontrei dificuldades para acessar o site.;negativo
Emissão de carteira de trabalho;O site é bem fácil de navegar.;positivo
Licenciamento de veículo;Recebi meu licenciamento sem problemas.;positivo
Abertura de empresa;Encontrei muitas informações contraditórias.;negativo
Emissão de RG;O suporte ao cliente foi excelente.;positivo
Emissão de título de eleitor;Houve erros no meu documento.;negativo
Emissão de carteira de trabalho;Todo o procedimento foi muito claro.;positivo
Licenciamento de veículo;O sistema estava fora do ar.;negativo
Abertura de empresa;Precisei de ajuda e fui prontamente atendido.;positivo
Emissão de RG;O site é difícil de navegar.;negativo
Emissão de título de eleitor;Consegui emitir meu título sem dificuldades.;positivo
Emissão de carteira de trabalho;Precisei de ajuda para finalizar.;negativo
Licenciamento de veículo;O processo foi rápido e fácil.;positivo
Abertura de empresa;O atendimento foi muito lento.;negativo
Emissão de RG;O prazo de entrega foi cumprido.;positivo
Emissão de título de eleitor;Tive problemas para autenticar meus dados.;negativo
Emissão de carteira de trabalho;O serviço foi excelente.;positivo
Licenciamento de veículo;Precisei refazer o processo várias vezes.;negativo
Abertura de empresa;Encontrei todas as informações de que precisava.;positivo
Emissão de RG;O site é muito lento.;negativo
Emissão de título de eleitor;Recebi meu título muito rápido.;positivo
Emissão de carteira de trabalho;O formulário é fácil de preencher.;positivo
Licenciamento de veículo;Tive dificuldades para pagar a taxa.;negativo
Abertura de empresa;O processo foi muito simples.;positivo
Emissão de RG;Recebi meu RG sem problemas.;positivo
Emissão de título de eleitor;Encontrei muitos erros no site.;negativo
Emissão de carteira de trabalho;O atendimento foi muito bom.;positivo
Licenciamento de veículo;Precisei de ajuda para entender os passos.;negativo
Abertura de empresa;Tudo foi resolvido rapidamente.;positivo
Emissão de RG;O site caiu várias vezes durante o processo.;negativo
Emissão de título de eleitor;O atendimento foi eficiente.;positivo
Emissão de carteira de trabalho;Recebi meu documento no prazo.;positivo
Licenciamento de veículo;Precisei ligar para o suporte.;negativo
Abertura de empresa;O site fornece todas as informações necessárias.;positivo
Emissão de RG;O atendimento foi muito ruim.;negativo
Emissão de título de eleitor;Tive problemas com a verificação dos documentos.;negativo
Emissão de carteira de trabalho;O site é intuitivo.;positivo
Licenciamento de veículo;Tive dificuldades para acessar o site.;negativo
Abertura de empresa;Consegui abrir minha empresa sem complicações.;positivo
Emissão de RG;O processo foi muito eficiente.;positivo
Emissão de título de eleitor;Precisei de ajuda para continuar.;negativo
Emissão de carteira de trabalho;Recebi minha carteira sem problemas.;positivo
Licenciamento de veículo;Todo o processo foi muito claro.;positivo
Abertura de empresa;Houve muitos erros no site.;negativo
Emissão de RG;Recebi meu documento muito rápido.;positivo
Emissão de título de eleitor;O site ficou fora do ar várias vezes.;negativo
Emissão de carteira de trabalho;Precisei corrigir vários dados.;negativo
Licenciamento de veículo;Foi fácil e rápido licenciar meu veículo.;positivo
Abertura de empresa;Todo o processo foi muito complicado.;negativo
